episode,seed,epsilon,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
44,50,0.773056,-14.750000,1.632280,75.441553,50,1,0,1,lost,100.000,0.000,40.000,2,16,-13.745000,1.473031,0.050000,,
45,51,0.767778,-14.300000,1.601855,74.170394,50,1,0,1,lost,100.000,0.000,18.000,1,17,-13.682500,1.490491,0.050000,,
46,52,0.762500,-28.900000,1.581162,73.014239,50,1,0,1,lost,100.000,0.000,6.000,1,15,-14.267500,1.503067,0.050000,,
47,53,0.757222,-16.450000,1.637280,76.361976,50,1,0,1,lost,99.900,12.000,0.000,0,13,-14.207500,1.517334,0.050000,,
48,54,0.751944,-8.200000,1.569477,70.166983,50,1,0,1,lost,100.000,0.000,4.500,1,9,-14.110000,1.516904,0.050000,,
49,55,0.746667,-18.800000,1.443203,67.830401,50,1,0,1,lost,86.930,15.000,0.000,1,20,-14.450000,1.534528,0.050000,,
50,56,0.741389,-10.000000,1.626640,75.776732,50,1,0,1,lost,94.240,11.722,40.000,0,17,-14.330000,1.543101,0.050000,,
51,57,0.736111,-12.950000,1.702281,78.362477,50,1,0,1,lost,57.690,0.000,11.000,1,14,-14.137500,1.555188,0.050000,,
52,58,0.730833,-13.700000,1.637032,78.316692,50,1,0,1,lost,100.000,0.000,46.000,1,16,-13.995000,1.569389,0.050000,,
53,59,0.725556,-19.600000,1.575690,72.998424,50,1,0,1,lost,90.920,20.000,0.000,1,21,-14.445000,1.561968,0.050000,,
54,60,0.720278,-19.450000,1.607699,75.261394,50,1,0,1,lost,27.970,22.500,0.000,2,19,-14.157500,1.574038,0.050000,,
55,61,0.715000,-19.500000,1.551722,72.536941,50,1,0,1,lost,100.000,9.500,0.000,1,14,-14.682500,1.576055,0.050000,,
56,62,0.709722,-15.350000,1.630560,77.970152,50,1,0,1,lost,95.650,0.000,2.500,3,11,-14.755000,1.585318,0.050000,,
57,63,0.704444,-16.400000,1.573712,72.069163,50,1,0,1,lost,94.040,10.300,0.000,0,22,-15.887500,1.619101,0.000000,,
58,64,0.699167,-14.250000,1.649957,76.066977,50,1,0,1,lost,100.000,1.500,0.000,0,21,-15.822500,1.622306,0.000000,,
59,65,0.693889,-12.950000,1.768388,81.790545,50,1,0,1,lost,47.680,18.000,0.000,0,16,-15.797500,1.630550,0.000000,,
60,66,0.688611,-12.800000,1.778344,85.143947,50,1,0,1,lost,100.000,0.000,50.000,2,17,-15.907500,1.628153,0.000000,-22.580000,0.000000
61,67,0.683333,-12.750000,1.717827,83.175617,50,1,0,1,lost,100.000,0.000,2.000,0,21,-15.232500,1.637525,0.000000,,
62,68,0.678056,-27.050000,1.811028,84.554171,50,1,0,1,lost,100.000,4.746,40.000,1,18,-15.965000,1.645585,0.000000,,
63,69,0.672778,-18.250000,1.550293,67.121228,46,1,0,1,lost,0.000,1.500,48.000,1,22,-16.320000,1.632322,0.000000,,
64,70,0.667500,-11.850000,1.855958,86.940962,50,1,0,1,lost,61.090,0.000,50.000,1,18,-16.175000,1.643505,0.000000,,
65,71,0.662222,-19.750000,1.577284,73.109710,50,1,0,1,lost,87.490,16.145,47.000,0,18,-16.447500,1.642277,0.000000,,
