episode,step,action_index,action_label,reward,loss,done,mission_status,battery_pct,attitude_error,fuel_units,last_action_result
2,2,24,query_attitude,0.000000,0.002841,0,degraded,62.530,0.000,50.000,diag: mode=nominal err=0.00deg rw=nominal ref=star_tracker st_bias=0.0 gyro_bias=0.0
2,3,10,reconfigure_power:solar_a,-0.350000,0.022710,0,degraded,65.030,0.000,50.000,solar_a has no active fault to reconfigure
2,4,19,switch_attitude_reference:sun_sensor,-0.050000,0.002896,0,degraded,67.530,0.150,50.000,attitude reference set to sun_sensor
2,5,27,diagnostic_scan:attitude,0.050000,0.002700,0,degraded,68.870,0.300,50.000,diag-scan attitude: mode=nominal err=0.15deg rw_deg=0.00 st_fault=False ref=sun_sensor
2,6,23,query_power_level:solar_b,0.000000,0.008318,0,degraded,68.870,0.450,50.000,diag: solar_b output=88.7W health=1.00 (panel nominal)
2,7,13,switch_to_thruster_control,-0.050000,0.009904,0,degraded,68.870,0.250,48.500,ACS switched to thruster control
2,8,16,cross_validate_attitude,-0.050000,0.006677,0,degraded,68.870,0.050,47.000,diag: ST=0.25deg GY=0.25deg SUN=0.25deg disagree=0.00
2,9,11,reconfigure_power:solar_b,-0.350000,0.854168,0,degraded,68.870,0.000,45.500,solar_b has no active fault to reconfigure
2,10,1,shed_load:science_b,-0.150000,0.001016,0,degraded,68.870,0.000,44.000,science_b powered off
2,11,6,restore_load:heaters,-0.250000,0.005040,0,degraded,68.870,0.000,42.500,heaters already online
2,12,26,diagnostic_scan:power,0.050000,0.005565,0,degraded,68.870,0.000,41.000,diag-scan power: bat=68.9% solar=180.0W load=90.0W net=positive pcf=False
2,13,26,diagnostic_scan:power,0.050000,0.001267,0,degraded,68.870,0.000,39.500,diag-scan power: bat=68.9% solar=180.0W load=90.0W net=positive pcf=False
2,14,13,switch_to_thruster_control,-0.250000,0.006281,0,degraded,68.870,0.000,38.000,already in thruster mode
2,15,6,restore_load:heaters,-0.250000,0.000507,0,degraded,68.870,0.000,36.500,heaters already online
2,16,24,query_attitude,0.000000,0.003443,0,degraded,68.870,0.000,35.000,diag: mode=thruster err=0.00deg rw=nominal ref=sun_sensor st_bias=0.0 gyro_bias=0.0
2,17,0,shed_load:science_a,-0.150000,0.007542,0,degraded,68.870,0.000,33.500,science_a powered off
2,18,3,shed_load:transponder,-0.150000,0.000304,0,degraded,68.870,0.000,32.000,transponder powered off
2,19,25,query_thermal,0.000000,0.007207,0,degraded,68.870,0.000,30.500,diag: battery_temp=20.0C heaters=online thermal_fault=False
2,20,30,resume_nominal,-0.550000,0.032388,0,degraded,68.870,0.000,29.000,refused: 1 unresolved fault(s) - resolve before resuming nominal
2,21,11,reconfigure_power:solar_b,-0.350000,0.536340,0,degraded,68.870,0.000,27.500,solar_b has no active fault to reconfigure
2,22,16,cross_validate_attitude,-0.050000,0.001925,0,degraded,68.870,0.000,26.000,diag: ST=0.00deg GY=0.00deg SUN=0.00deg disagree=0.00
