episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
40,46,0.794167,0.541071,-19.150000,3.214241,148.655428,50,1,0,1,lost,100.000,5.300,24.000,0,2,14,-8.872500,2.066089,0.300000,-16.180000,0.000000
41,47,0.788889,0.535714,-16.850000,3.095316,147.259320,50,1,0,1,lost,99.410,11.000,0.000,0,0,14,-8.477500,2.092946,0.300000,,
42,48,0.783611,0.530357,-8.750000,3.053609,137.794487,50,1,0,1,lost,61.350,0.286,33.500,33,4,18,-7.105000,2.136765,0.300000,,
43,49,0.778333,0.525000,11.700000,0.159550,1.679693,30,1,1,0,recovered,52.400,0.000,44.000,30,0,12,-5.880000,2.014709,0.350000,,
44,50,0.773056,0.519643,10.850000,0.059004,0.720620,30,1,1,0,recovered,50.920,0.000,44.000,30,0,12,-4.762500,1.902155,0.400000,,
45,51,0.767778,0.514286,5.850000,0.175134,1.752216,45,1,1,0,recovered,100.000,0.000,50.000,0,2,12,-3.820000,1.739739,0.450000,,
46,52,0.762500,0.508929,-19.900000,3.534215,171.089456,50,1,0,1,lost,100.000,0.000,44.000,33,4,17,-4.072500,1.772027,0.450000,,
47,53,0.757222,0.503571,-16.200000,2.671102,122.670447,50,1,0,1,lost,100.000,1.970,12.500,0,2,20,-3.335000,1.798822,0.450000,,
48,54,0.751944,0.498214,10.950000,0.344433,1.096012,8,1,1,0,recovered,100.000,0.000,46.000,0,0,3,-2.222500,1.690832,0.500000,,
49,55,0.746667,0.492857,10.800000,0.375049,2.244242,30,1,1,0,recovered,100.000,0.000,44.000,30,0,12,-0.735000,1.571143,0.550000,,
50,56,0.741389,0.487500,-6.000000,3.741769,173.887637,50,1,0,1,lost,100.000,0.550,32.000,33,4,18,-1.532500,1.748969,0.500000,,
