episode,seed,epsilon,expert_mix_rate,total_reward,mean_loss,max_loss,steps,done,recovered,lost,final_status,final_battery_pct,final_attitude_error,final_fuel_units,expert_action_count,invalid_action_count,diagnostic_action_count,rolling_reward_20,rolling_loss_20,rolling_success_rate_20,eval_mean_reward,eval_success_rate
40,46,0.794167,0.541071,-24.600000,2.011259,90.101045,49,1,0,1,lost,82.470,30.500,0.000,19,4,16,-13.860000,1.975511,0.150000,,
41,47,0.788889,0.535714,-14.500000,2.305849,112.801636,50,1,0,1,lost,100.000,0.000,36.000,14,0,17,-13.385000,1.988959,0.150000,,
42,48,0.783611,0.530357,-12.700000,2.326603,105.231162,50,1,0,1,lost,61.350,0.936,40.000,13,1,16,-12.345000,2.017668,0.150000,,
43,49,0.778333,0.525000,11.000000,0.602988,6.273596,19,1,1,0,recovered,52.400,0.000,50.000,12,0,7,-12.387500,2.000009,0.150000,,
44,50,0.773056,0.519643,-15.800000,3.369914,152.015274,50,1,0,1,lost,50.920,0.000,42.000,23,9,17,-13.562500,2.141677,0.100000,,
45,51,0.767778,0.514286,7.550000,0.637743,7.408775,32,1,1,0,recovered,100.000,0.000,46.000,18,2,10,-12.385000,2.031989,0.150000,,
46,52,0.762500,0.508929,-15.250000,2.755377,131.133821,50,1,0,1,lost,100.000,0.000,44.000,17,3,21,-12.375000,2.037308,0.150000,,
47,53,0.757222,0.503571,-13.450000,3.450354,120.553703,36,1,0,1,lost,100.000,1.500,0.000,16,4,15,-12.360000,2.100695,0.150000,,
48,54,0.751944,0.498214,7.600000,0.499069,4.817641,30,1,1,0,recovered,100.000,0.000,38.000,14,1,10,-11.300000,2.013492,0.200000,,
49,55,0.746667,0.492857,-16.000000,3.139880,148.324973,50,1,0,1,lost,100.000,0.000,48.000,14,4,17,-11.185000,2.050803,0.200000,,
50,56,0.741389,0.487500,-16.650000,2.314777,93.089043,45,1,0,1,lost,100.000,6.500,0.000,18,3,15,-11.267500,2.070912,0.200000,,
51,57,0.736111,0.482143,11.100000,0.572042,1.892494,26,1,1,0,recovered,57.690,0.000,48.000,14,1,10,-9.427500,2.013164,0.250000,,
52,58,0.730833,0.476786,-26.750000,2.831675,131.006435,50,1,0,1,lost,73.000,0.000,13.500,16,4,14,-10.115000,2.054624,0.250000,,
53,59,0.725556,0.471429,10.900000,0.461669,3.791215,30,1,1,0,recovered,100.000,0.000,46.000,15,0,12,-8.852500,1.954332,0.300000,,
54,60,0.720278,0.466071,-15.000000,2.766902,128.489033,50,1,0,1,lost,25.590,14.656,34.000,19,3,17,-8.395000,1.996876,0.300000,,
55,61,0.715000,0.460714,-13.150000,3.461917,157.153598,50,1,0,1,lost,100.000,0.000,40.000,11,2,18,-8.470000,2.049808,0.300000,,
56,62,0.709722,0.455357,-15.600000,2.507856,120.372969,50,1,0,1,lost,44.260,0.000,46.000,16,2,17,-8.532500,2.064398,0.300000,,
57,63,0.704444,0.450000,10.000000,0.489760,7.529373,30,1,1,0,recovered,47.590,0.000,11.500,16,0,13,-7.307500,1.968387,0.350000,,
58,64,0.699167,0.444643,-23.850000,3.012845,142.202911,50,1,0,1,lost,85.000,1.650,44.000,19,7,17,-7.785000,2.001633,0.350000,,
59,65,0.693889,0.439286,-11.900000,3.234956,157.007844,50,1,0,1,lost,100.000,0.000,46.000,13,4,22,-8.852500,2.137672,0.300000,,
60,66,0.688611,0.433929,-16.950000,2.577469,123.075195,50,1,0,1,lost,100.000,7.500,0.000,13,2,12,-8.470000,2.165982,0.300000,-16.425000,0.000000
61,67,0.683333,0.428571,-14.550000,2.359340,104.670539,50,1,0,1,lost,100.000,0.000,46.000,17,3,16,-8.472500,2.168657,0.300000,,
62,68,0.678056,0.423214,-19.300000,2.596281,119.259020,50,1,0,1,lost,96.300,18.500,0.000,11,1,9,-8.802500,2.182141,0.300000,,
63,69,0.672778,0.417857,-20.150000,2.386168,103.001921,50,1,0,1,lost,83.060,21.500,0.000,15,2,14,-10.360000,2.271300,0.250000,,
64,70,0.667500,0.412500,10.150000,0.290194,2.750483,16,1,1,0,recovered,61.090,1.500,50.000,8,0,5,-9.062500,2.117314,0.300000,,
65,71,0.662222,0.407143,-14.850000,2.877292,136.198861,50,1,0,1,lost,100.000,8.995,46.000,15,5,18,-10.182500,2.229291,0.250000,,
66,72,0.656944,0.401786,-13.900000,3.364532,163.847560,50,1,0,1,lost,100.000,0.000,46.000,11,1,19,-10.115000,2.259749,0.250000,,
